,Enough,Hours,PhoneReach,PhoneTime,Tired,Breakfast
0,Yes,8.0,Yes,Yes,3,Yes
1,No,6.0,Yes,Yes,3,No
6,Yes,7.0,Yes,Yes,3,Yes
8,No,4.0,No,Yes,2,Yes
9,No,6.0,Yes,Yes,3,Yes
12,Yes,7.0,Yes,Yes,3,No
13,Yes,8.0,Yes,Yes,2,No
14,Yes,7.0,No,Yes,3,Yes
15,Yes,8.0,Yes,Yes,3,No
17,Yes,8.0,Yes,Yes,3,Yes
19,Yes,8.0,Yes,Yes,3,No
20,No,2.0,Yes,Yes,5,No
21,No,4.0,Yes,Yes,2,Yes
22,No,5.0,Yes,No,3,Yes
24,No,5.0,Yes,Yes,2,No
26,No,6.0,Yes,Yes,3,No
27,No,6.0,Yes,Yes,2,No
28,Yes,7.0,Yes,No,2,Yes
29,Yes,9.0,No,No,2,Yes
30,Yes,8.0,Yes,Yes,2,Yes
32,No,6.0,Yes,Yes,4,No
33,No,6.0,No,No,3,No
36,Yes,7.0,No,No,2,Yes
37,Yes,9.0,No,Yes,2,Yes
38,No,5.0,Yes,No,5,No
40,Yes,8.0,No,Yes,1,Yes
42,No,5.0,Yes,Yes,3,No
43,No,6.0,Yes,Yes,3,Yes
44,No,4.0,No,No,5,No
46,Yes,9.0,Yes,Yes,1,Yes
47,No,5.0,No,No,5,Yes
48,No,6.0,No,Yes,3,Yes
49,No,4.0,Yes,Yes,2,Yes
50,No,5.0,Yes,No,3,No
53,No,5.0,Yes,Yes,2,No
55,No,5.0,No,Yes,2,Yes
56,No,6.0,Yes,Yes,3,No
59,Yes,7.0,Yes,Yes,2,No
60,No,6.0,Yes,Yes,3,No
62,No,2.0,No,No,5,No
66,Yes,7.0,Yes,No,1,No
68,Yes,7.0,Yes,No,3,No
69,No,6.0,Yes,Yes,3,Yes
71,No,5.0,Yes,Yes,4,Yes
72,No,5.0,Yes,Yes,4,No
73,No,6.0,No,Yes,5,Yes
74,Yes,7.0,Yes,Yes,4,Yes
75,No,6.0,No,Yes,4,No
78,No,6.0,Yes,Yes,3,Yes
81,No,6.0,Yes,Yes,3,No
82,No,5.0,No,No,4,No
83,Yes,8.0,No,No,2,Yes
84,Yes,8.0,No,Yes,1,Yes
85,No,6.0,Yes,Yes,3,No
87,No,5.0,Yes,No,4,Yes
88,No,6.0,Yes,No,2,Yes
89,Yes,8.0,No,Yes,3,Yes
92,Yes,7.0,No,Yes,2,Yes
93,Yes,9.0,No,No,2,Yes
94,Yes,8.0,Yes,Yes,4,No
95,Yes,7.0,No,Yes,2,Yes
97,Yes,7.0,Yes,Yes,2,No
98,No,6.0,Yes,Yes,3,No
101,Yes,8.0,Yes,Yes,3,Yes
102,Yes,7.0,Yes,Yes,2,Yes
